gene,mean_exprs,bs,bs_conf_ul,bs_conf_ll
Eif2b5,1.716494845,8.751609178,19.32150527,4.56192798
Eif2d,1.80952381,1.823086408,2.39316353,1.38072184
Eif2s1,3.376623377,22.73946751,37.45420103,14.0424928
Eif2s2,7.974683544,14.50521451,19.31326715,10.81931417
Eif3a,16.24630542,13.54915096,16.16967575,11.44042532
Eif3b,6.430493274,5.314843678,8.18062551,3.33180258
Eif3c,14.74193548,18.6533947,23.35571948,14.71016444
Eif3d,13.01351351,11.21487643,15.09110204,8.28000436
Eif3e,5.727272727,12.594045,16.5302522,9.49114621
Eif3f,4.445945946,2.020992323,2.52399354,1.61661709
Eif3g,10.61883408,6.6322871900000004,10.44369508,5.34085435
Eif3h,5.111607143,2.774007349,3.39936339,2.27002842
Eif3i,6.163636364,5.559642717,7.96476582,3.72250902
Eif3k,11.99107143,7.38564904,10.88039491,4.93106417
Eif3l,7.33632287,5.343253389,8.46489633,3.00455981
Eif3m,4.005434783,14.03258747,18.65881586,10.47239311
Eif4a2,3.359375,10.51146807,15.25550417,7.25817142
Eif4a3,2.735426009,2.895171542,3.62353586,2.26195067
Eif4b,4.509090909,4.223429562,5.99997055,3.22746959
Eif4e2,6.196969697,9.992444627,13.03349565,7.66823736
Eif4ebp1,11.86607143,6.090203593,7.24498115,4.84688372
Eif4g1,8.718446602,11.22513528,14.75405774,8.45208
Eif4g2,13.83695652,42.78604059,53.20446085,34.60785518
Eif4g3,1.60199005,4.317089018,7.66515987,2.5106696
Eif4h,11.08108108,8.172033938,11.16800989,5.63735781
Eif5,8.25,14.84162735,19.06788245,11.44345397
Eif6,8.166666667,13.83216723,18.23097936,10.32686885
Elavl1,3.041284404,2.316886309,2.8163673,1.78952802
Elk3,1.17370892,1.452702244,1.9749320400000001,1.06097009
Ell2,1.088607595,1.712049008,2.38305331,1.15442618
Elmo2,1.990909091,1.944102742,2.51722117,1.49958797
Elovl1,6.839449541,9.739277153,13.92450245,6.71507437
Elovl5,1.755656109,1.852032459,2.40381144,1.42281354
Elp2,1.497757848,1.373814486,2.78844033,0.94108136
Elp3,1.203703704,8.30941499,16.94511272,4.47993308
Emb,2.668224299,5.986490415,8.19511731,4.53865939
Emg1,3.793814433,10.3773958,14.34538719,7.42562237
Emilin1,2.447963801,4.536138951,6.53389185,3.02603916
Emilin2,6.731818182,6.8177014,8.24928108,5.67430049
Eml1,9.822727273,7.836202453,9.3384014,6.62038774
Emp1,9.703196347,13.80889828,16.53852466,11.39995777
Emp2,1.273148148,2.021380792,2.70245993,1.51308864
Emp3,17.09375,8.513991581,10.00112113,7.2750594
Enah,4.913461538,8.194757281,11.74573077,5.61097555
Enc1,1.589285714,1.22701558,1.602931,0.92923651
Eng,2.351851852,15.70656092,21.61290247,11.74787747
Eno1,8.579710145,15.83755741,21.17533707,12.13384589
Ensa,4.357142857,19.25102117,29.12230486,13.05417883
Entpd6,1.03271028,1.325258437,1.8387173,0.95005518
Epb4.1l2,4.390909091,4.067286094,5.87218131,2.48320518
Epb4.1l3,8.14479638,10.22697592,13.81260974,7.31962675
Epc1,1.016129032,1.87573205,2.61348166,1.34522347
Epdr1,2.579908676,3.84866067,6.15155326,2.80219354
Epha2,1.403669725,3.08035539,3.81437836,2.21778919
Ephb2,1.079812207,3.230266919,5.0718753,2.09287653
Ephb4,1.497674419,1.662640009,2.16992488,1.23064149
Epn1,2.210526316,18.01750548,33.53483081,10.32333797
Eprs,7.265765766,5.391503348,7.5960358,4.20598756
Ept1,1.737373737,1.425563583,1.93302449,1.08546766
Erbb2ip,1.187817259,2.277097302,3.11567787,1.59954308
Erc1,1.561904762,9.479382107,25.119413,4.41116915
Ercc1,1.308035714,1.242712565,1.67775513,0.89794544
Ercc3,1.31797235,1.199808398,1.63061066,0.87088777
Ercc5,2.139534884,4.446916201,5.71095974,3.46318094
Ereg,1.159817352,2.088598093,2.72747692,1.51975265
Ergic1,9.709821429,5.424640902,6.4743269,4.575699
Ergic2,3.572864322,27.96840783,48.98162421,16.91847695
Ergic3,6.129464286,2.226603271,2.72389261,1.81171059
Eri1,1.111111111,4.647311223,7.03907172,2.94844155
Eri3,3.490654206,3.04252481,5.40067361,1.8550216
Erlin2,1.422535211,1.102732908,1.48990558,0.80230724
Ero1l,2.461883408,4.276625497,6.56872867,2.6159867
